INDEX,,,1. INBOUND TOURISM: Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.14,4-1.14,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
4,1.15,4-1.15,,,,Personal,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
4,1.18,4-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad. Including in transit visitors.,
8,1.14,8-1.14,,,Total,,,Thousands,1/,VF,..,..,..,169,341,295,340,470,558,645,748,937,"1,126","1,419","1,856","2,417","2,932","3,514","3,256","3,673","4,131","4,736","5,118","5,927","6,406","2,658","5,689","7,544",,
8,1.15,8-1.15,,,,Personal,,Thousands,,,..,..,..,106,172,218,243,370,470,582,680,889,"1,060","1,340","1,804","2,370","2,889","3,472","3,206","3,624","4,089","4,677","5,050","5,840","6,305","2,543","5,588","7,438",,
8,1.18,8-1.18,,,,Business and professional,,Thousands,,,..,..,..,63,169,77,97,100,88,63,68,48,66,79,52,47,43,42,50,48,42,59,69,87,101,115,100,106,,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.,
12,1.14,12-1.14,,,Total,,,Thousands,1/,VF,..,..,..,..,..,..,..,..,305,368,441,467,511,556,656,655,902,982,964,940,"1,083","1,323","1,708","2,019","1,934",510,67,757,,
12,1.15,12-1.15,,,,Personal,,Thousands,,,..,..,..,..,..,..,..,..,240,267,323,321,326,359,429,377,630,702,672,612,723,942,"1,470","1,838","1,776",475,22,701,,
12,1.18,12-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,..,..,..,..,65,101,118,146,185,197,227,278,272,280,292,329,360,380,238,181,158,36,45,56,,
16,0,16-0,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.14,16-1.14,,,Total,,,Thousands,,TF,34.0,34.0,26.0,36.0,41.0,44.0,36.0,..,..,..,24.5,25.3,24.1,24.3,23.5,23.1,22.6,22.6,20.8,21.6,20.3,20.1,20.0,20.2,..,..,..,..,,
16,1.15,16-1.15,,,,Personal,,Thousands,,,28.0,29.0,19.0,29.0,34.0,34.0,28.3,..,..,..,20.1,20.7,18.9,18.9,17.1,17.2,17.2,17.1,16.6,17.5,16.3,16.6,16.8,16.6,..,..,..,..,,
16,1.18,16-1.18,,,,Business and professional,,Thousands,,,6.0,5.0,7.0,7.0,7.0,10.0,7.7,..,..,..,4.4,4.6,5.2,5.3,6.4,5.9,5.4,5.5,4.2,4.1,4.0,3.5,3.2,3.5,..,..,..,..,,
20,0,20-0,ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Since May 2009 a new methodology has been applied and therefore, the information is not comparable to previous years.",
20,1.14,20-1.14,,,Total,,,Thousands,1/,VF,..,..,..,..,..,..,"11,351","11,508","11,601","11,669","11,050","10,737","10,744","10,194","9,112","8,551","7,983","7,900","7,676","7,797","7,850","8,025","8,152","8,328","8,235","5,207","5,422","8,427",,
20,1.15,20-1.15,,,,Personal,,Thousands,,,..,..,..,..,..,..,"10,687","10,907","10,975","10,978","10,405","10,244","10,288","9,798","8,616","7,959","7,896","7,814","7,569","7,680","7,678","7,881","8,022","8,153","8,046","4,887","5,242","8,203",,
20,1.18,20-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,..,..,664,601,626,691,645,493,456,396,496,592,87,86,107,117,173,145,130,175,189,320,180,224,,
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.14,24-1.14,,,Total,,,Thousands,,TF,9,21,45,52,45,51,67,91,107,194,210,122,194,294,365,425,481,528,650,595,592,397,261,218,218,64,64,129,,
24,1.15,24-1.15,,,,Personal,,Thousands,,,6,18,39,43,39,46,56,62,88,173,182,98,166,235,289,313,246,289,386,360,320,291,187,167,168,57,58,92,,
24,1.18,24-1.18,,,,Business and professional,,Thousands,,,3,3,6,9,6,5,11,29,19,21,28,24,28,59,76,112,235,239,264,235,272,107,74,51,50,6,6,37,,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.,
660,1.14,660-1.14,,,Total,,,Thousands,1/,VF,107,86,114,114,107,112,105,111,109,121,143,167,164,128,112,118,124,129,151,177,186,176,151,87,166,41,29,96,,
660,1.15,660-1.15,,,,Personal,,Thousands,,,105,84,111,111,104,109,101,107,105,117,138,160,156,122,109,115,121,127,148,174,182,171,148,84,163,40,28,94,,
660,1.18,660-1.18,,,,Business and professional,,Thousands,,,2,2,3,3,3,3,4,4,4,4,5,7,8,6,4,4,3,3,3,3,4,5,3,3,3,1,1,2,,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air. Excluding nationals residing abroad.,
28,1.14,28-1.14,,,Total,,,Thousands,1/,TF,191,202,211,204,..,..,..,..,..,246,245,254,262,266,234,230,241,..,..,249,250,265,247,269,301,125,169,265,,
28,1.15,28-1.15,,,,Personal,,Thousands,,,186,199,209,202,..,..,..,..,..,234,231,240,251,258,228,225,234,..,..,240,241,258,240,258,286,119,163,254,,
28,1.18,28-1.18,,,,Business and professional,,Thousands,,,5,3,2,2,..,..,..,..,..,12,14,14,11,8,6,5,7,..,..,9,9,7,7,11,15,6,6,11,,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ International Tourism Survey (ETI). Data corresponding to the Airports of Ezeiza and Aeroparque, Córdoba Airport (added as of 2010) and Mendoza Airport (added in 2018).",
32,1.14,32-1.14,,,Total,,,Thousands,1/,TF,..,..,..,..,..,..,..,..,..,"1,580","1,870","2,142","2,374","2,401","2,083","2,697","2,752","2,623","2,433","2,521","2,352","2,315","2,432","2,680","2,920",634,175,"1,659",,
32,1.15,32-1.15,,,,Personal,,Thousands,,,..,..,..,..,..,..,..,..,..,"1,197","1,482","1,781","1,923","1,966","1,694","2,203","2,243","2,173","1,957","2,010","1,827","1,837","1,873","2,017","2,332",560,154,"1,446",,
32,1.18,32-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,..,..,..,..,..,382,388,362,451,435,388,494,509,450,476,511,525,477,560,662,588,74,21,213,,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.14,51-1.14,,,Total,,,Thousands,,TF,12,13,23,32,41,45,124,162,206,263,318,382,511,558,575,683,758,963,"1,084","1,204","1,192","1,260","1,495","1,652","1,894",375,870,"1,666",,
51,1.15,51-1.15,,,,Personal,,Thousands,,,10,11,20,27,33,41,99,131,167,217,251,268,336,369,378,453,523,631,672,776,770,858,"1,138","1,201","1,593",319,716,"1,106",,
51,1.18,51-1.18,,,,Business and professional,,Thousands,,,2,2,3,5,8,4,25,31,39,46,67,114,175,189,197,230,235,332,412,428,422,402,357,451,301,56,154,560,,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air.,
533,1.14,533-1.14,,,Total,,,Thousands,1/,TF,619,640,646,647,683,721,691,643,642,728,733,694,772,827,..,824,869,904,979,"1,072","1,225","1,102","1,071","1,082","1,119",368,807,"1,101",,
533,1.15,533-1.15,,,,Personal,,Thousands,,,604,623,610,609,643,681,651,612,609,695,699,660,737,799,..,800,816,856,924,"1,015","1,162","1,042","1,009","1,023","1,071",349,772,"1,038",,
533,1.18,533-1.18,,,,Business and professional,,Thousands,,,15,17,36,38,40,40,40,31,33,33,34,34,35,28,..,24,53,48,55,57,63,60,62,59,48,19,34,63,,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,1/,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad and crew members.,
36,1.14,36-1.14,,,Total,,,Thousands,,,"3,726","4,163","4,318","4,168","4,459","4,931","4,856","4,841","4,747","5,215","5,499","5,533","5,645","5,586","5,490","5,791","5,771","6,032","6,482","6,922","7,449","8,269","8,815","9,246","9,466","1,828",246,"3,694",,
36,1.15,36-1.15,,,,Personal,,Thousands,,,"3,156","3,504","3,626","3,501","3,714","4,080","4,019","3,968","3,847","4,216","4,395","4,315","4,336","4,247","4,271","4,431","4,351","4,577","5,038","5,435","5,870","6,670","7,072","7,440","7,624","1,422",192,"2,957",,
36,1.18,36-1.18,,,,Business and professional,,Thousands,,,570,659,692,667,745,851,837,873,900,999,"1,104","1,218","1,309","1,339","1,219","1,360","1,420","1,455","1,443","1,486","1,580","1,599","1,744","1,806","1,842",406,54,737,,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.14,40-1.14,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
40,1.15,40-1.15,,,,Personal,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
40,1.18,40-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.14,31-1.14,,,Total,,,Thousands,,VF,93,210,306,483,602,681,767,834,"1,038","1,280","1,177","1,194","1,333","1,899","1,830","1,963","2,239","2,484","2,509","2,298","2,006","2,249","2,697","2,850","3,170",796,792,"1,602",,
31,1.15,31-1.15,,,,Personal,,Thousands,,,58,43,96,45,64,75,49,59,103,150,890,910,"1,028","1,505","1,450","1,415","1,647","1,889","1,860","1,627","1,374","1,557","1,862","2,062","2,320",618,595,"1,202",,
31,1.18,31-1.18,,,,Business and professional,,Thousands,,,35,167,210,438,538,606,718,775,935,"1,130",287,284,305,394,380,548,592,595,649,670,632,692,834,787,851,178,197,401,,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.14,44-1.14,,,Total,,,Thousands,,TF,"1,598","1,633","1,618","1,528","1,577","1,544","1,538","1,513","1,505","1,561","1,625","1,613","1,538","1,469","1,336","1,378","1,355","1,431","1,377","1,444","1,496","1,499","1,452","1,633","1,807",441,892,"1,452",,
44,1.15,44-1.15,,,,Personal,,Thousands,,,"1,477","1,486","1,440","1,380","1,403","1,364","1,376","1,357","1,362","1,416","1,474","1,487","1,396","1,343","1,245","1,303","1,262","1,331","1,278","1,354","1,390","1,392","1,365","1,531","1,696",402,861,"1,368",,
44,1.18,44-1.18,,,,Business and professional,,Thousands,,,121,147,178,148,174,180,162,156,144,145,151,127,142,126,91,75,93,100,99,90,107,107,87,102,111,38,31,84,,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2015, break in the series. Source: Inbound tourism survey. Excluding nationals residing abroad.",
48,1.14,48-1.14,,,Total,,,Thousands,1/,VF,"1,395","1,988","2,600","2,897","3,280","3,869","4,388","4,831","4,844","5,667","6,314","7,289","7,833","8,631",..,..,"6,732",..,..,..,"9,670","10,158","11,374","12,045","11,061","1,909","3,612","9,949",,
48,1.15,48-1.15,,,,Personal,,Thousands,,,"1,273","1,813","2,443","2,744","3,090","3,610","4,058","4,412","4,302","5,020","5,687","6,421","6,788","7,362",..,..,"6,082",..,..,..,"7,276","8,632","10,697","11,221","10,166","1,771","3,414","9,551",,
48,1.18,48-1.18,,,,Business and professional,,Thousands,,,122,175,157,153,190,259,330,419,542,647,627,868,"1,045","1,269",..,..,650,..,..,..,"2,394","1,526",677,824,895,139,198,397,,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.14,50-1.14,,,Total,,,Thousands,,TF,156,165,182,172,173,199,207,207,245,271,208,200,289,467,267,..,..,..,..,..,..,..,..,..,..,..,..,..,,
50,1.15,50-1.15,,,,Personal,,Thousands,,,108,122,124,117,137,159,173,177,211,216,105,109,156,340,145,..,..,..,..,..,..,..,..,..,..,..,..,..,,
50,1.18,50-1.18,,,,Business and professional,,Thousands,,,48,43,58,55,36,40,34,30,34,55,103,91,133,127,122,..,..,..,..,..,..,..,..,..,..,..,..,..,,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ The information for 2019 only includes data relating to the January-September period due to a data gap in the fourth quarter and is therefore not comparable to the series for previous years.,
52,1.14,52-1.14,,,Total,,,Thousands,,TF,442,447,472,512,515,545,507,497,531,551,548,563,574,568,518,532,568,536,509,521,592,632,664,680,523,207,145,540,,
52,1.15,52-1.15,,,,Personal,,Thousands,,,423,423,435,471,460,485,450,439,466,481,476,503,516,508,463,479,514,485,451,462,533,574,610,628,477,184,132,475,,
52,1.18,52-1.18,,,,Business and professional,,Thousands,,,19,24,37,41,55,60,57,58,65,70,72,60,58,60,55,53,54,51,58,59,59,58,54,52,45,23,13,65,,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Data until 2015 without taking into account the Belarusian-Russian border segment. Data from 2016 including estimation of the Belarusian-Russian border segment.,
