INDEX,,,1. INBOUND TOURISM: Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.5,4-1.5,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.6,4-1.6,,,,Africa,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.7,4-1.7,,,,Americas,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.8,4-1.8,,,,East Asia and the Pacific,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.9,4-1.9,,,,Europe,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.10,4-1.10,,,,Middle East,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.11,4-1.11,,,,South Asia,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.12,4-1.12,,,,Other not classified,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
4,1.13,4-1.13,,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.5,8-1.5,,,Total,,,Thousands,1/,VF,..,..,..,..,357,317,342,471,558,646,748,937,"1,127","1,419","1,855","2,417","2,932","3,514","3,256","3,673","4,131","4,736","5,118","5,927","6,406","2,658","5,689","7,544",1/ Excluding nationals residing abroad. Including in transit visitors.
8,1.6,8-1.6,,,,Africa,,Thousands,,,..,..,..,..,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,3.0,0.5,1,1,1,3,2,3,4,24,2,3,4.6,
8,1.7,8-1.7,,,,Americas,,Thousands,,,..,..,..,..,11,14,14,16,19,26,35,42,52,61,60,62,70,74,73,90,97,105,125,149,157,30,116,177,
8,1.8,8-1.8,,,,East Asia and the Pacific,,Thousands,,,..,..,..,..,1,2,2,3,4,4,5,8,10,15,28,11,17,20,24,31,33,36,54,68,68,5,8,27,
8,1.9,8-1.9,,,,Europe,,Thousands,,,..,..,..,..,322,295,320,439,532,610,703,857,"1,061","1,335","1,513","2,239","2,739","3,214","2,964","3,424","3,759","4,491","4,694","5,332","5,796","2,617","5,173","6,922",
8,1.10,8-1.10,,,,Middle East,,Thousands,,,..,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,4,5,6,7,12,2,37,42,
8,1.11,8-1.11,,,,South Asia,,Thousands,,,..,..,..,..,0.2,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.8,1.0,1.0,1.0,1.3,1.6,2.0,2.4,3.1,13.5,0.8,21.0,10.9,
