INDEX,,,1. INBOUND TOURISM: Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.19,4-1.19,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.20,4-1.20,,,,Air,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.21,4-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.22,4-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad. Including in transit visitors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.19,8-1.19,,,Total,,,Thousands,1/,VF,304,287,119,184,371,317,354,470,558,646,748,937,"1,126","1,419","1,856","2,417","2,932","3,514","3,256","3,673","4,131","4,736","5,118","5,927","6,406","2,658","5,689","7,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.20,8-1.20,,,,Air,,Thousands,,,45,39,32,79,86,72,91,80,87,103,128,151,182,206,227,246,267,273,314,337,401,457,578,692,784,270,765,"1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.21,8-1.21,,,,Water,,Thousands,,,83,78,19,33,152,79,103,111,120,139,130,141,162,189,215,216,191,180,182,198,211,276,393,439,468,64,206,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.22,8-1.22,,,,Land,,Thousands,,,176,170,68,72,133,166,160,279,351,404,490,645,782,"1,024","1,414","1,955","2,474","3,061","2,760","3,138","3,519","4,003","4,147","4,796","5,154","2,324","4,718","5,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
