INDEX,,,3. OUTBOUND TOURISM: Tourism expenditure in other countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.4,4-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,38,70,106,255,110,138,140,151,89,130,226,168,49,..,..,
4,3.5,4-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,36,68,103,246,105,132,137,147,79,118,203,129,30,..,..,
4,3.6,4-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,3,9,5,6,3,4,10,12,23,39,19,..,..,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3.4,8-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,19,25,13,22,35,290,269,386,507,669,808,989,"1,331","1,644","1,692","1,452","1,677","1,374","1,567","1,689","1,311","1,338","1,473","1,750","1,852",805,"1,325","1,937",
8,3.5,8-3.5,,,Travel,,,US$ Millions,,IMF,7,12,5,5,12,272,257,365,489,642,786,965,"1,268","1,555","1,585","1,360","1,565","1,284","1,479","1,590","1,238","1,262","1,433","1,679","1,770",763,"1,265","1,853",
8,3.6,8-3.6,,,Passenger transport,,,US$ Millions,,IMF,12,13,8,17,23,18,12,21,18,27,22,24,63,89,107,92,112,90,88,99,73,76,40,71,82,42,60,84,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3.4,12-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,660,414,502,613,574,716,595,598,531,679,762,556,632,542,670,272,222,444,
12,3.5,12-3.5,,,Travel,,,US$ Millions,,IMF,186,188,144,269,251,193,194,248,255,341,370,349,376,468,456,601,527,529,471,608,685,474,580,498,638,234,192,415,
12,3.6,12-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,290,65,126,145,118,115,68,69,60,71,77,82,52,44,32,38,30,29,
16,0,16-0,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3.4,16-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,3.5,16-3.5,,,Travel,,,US$ Millions,,country,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,3.6,16-3.6,,,Passenger transport,,,US$ Millions,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,0,20-0,ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.4,20-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,187,132,192,..,
20,3.5,20-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,180,131,186,..,
20,3.6,20-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,1,5,..,
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.4,24-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,113,110,125,96,142,146,80,52,49,86,135,393,473,447,270,275,323,288,316,505,389,823,"1,216",762,717,691,800,"1,898",
24,3.5,24-3.5,,,Travel,,,US$ Millions,,IMF,75,73,98,75,127,136,66,19,12,39,74,148,212,254,133,148,180,159,166,113,146,594,977,555,469,615,629,"1,657",
24,3.6,24-3.6,,,Passenger transport,,,US$ Millions,,IMF,38,37,27,21,15,10,14,33,37,47,61,245,261,193,137,127,143,129,150,392,243,229,239,207,248,76,171,240,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,3.4,660-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,15,16,13,13,15,6,3,7,
660,3.5,660-3.5,,,Travel,,,US$ Millions,,IMF,6,6,7,8,8,9,9,8,9,9,10,13,15,17,16,13,13,12,12,12,13,14,11,11,13,6,2,6,
660,3.6,660-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,2,2,2,2,1,0,1,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
